apk,des,per,pp,ui,cg,des_psg,BLEU-n_psg,ROUGE-L_psg,des_ctx,BLEU-n,ROUGE-L
air.CreativeTech.PhotoColoringEditor,You can also create new images or take from your camera,camera,access to device camera is required for us to provide our service,Camera Gallery Settings Exit Take Photo Select Select All Done Cancel,get capture height get start capture set continuous focus mode get video sizes get capture format get capture width get auto focus,s camera  users can also toggle the camera  view the current camera settings,11.583960079962267,28.57142807256236, this app uses your camera to scan your photo in a camera,9.516904983982284,19.04761854875285
com.barz.tourguide.purdue,Visitors have the option to stream or download content,storage,write storage permission is used for saving downloaded files to external storage.,download video watch online return,gget external storage directory, the app also has the option to grant permissions to access the camera and to modify the baby,11.739732782066763,27.272726789256208, save your own music music and external in app will be be text download stored etc etc,2.589413283930688,8.69565169754256
com.lystloc,Lystloc is a location intelligence solution that helps organizations to track their employees and vehicles in real-time easily,location,"Track the distance covered, working duration, battery percent, real-time location, GPS position of your executives. Play their entire route with the click of a button.",show on map,get hire marker get worker current location menu selection hire available,the purpose of this app is to allow users to search and select a location in an application,13.865270830268225,22.85714235755103, the app uses your location,0.7076238796725185,8.695651833648407
com.wallpapergalaxys9.galaxys9,Save wallpaper to photo gallery,storage,"to save photos to the device, the app first need access to your device storage.",wallpapers save to gallery exit,background resource ready create view holder display image set native configuration render get external storage directory crop save image execute process input get image absolute path,s camera and gallery,9.701582390972348,22.22222172839508, save your photos and share it in gallery,9.578122612241073,30.76923029585799
au.droidblitz.birthdaycards,Make use of the calendar button on the home screen to view and organize your events,calendar,Read Calendar and Write Calendar,Enter Gallery Calendar Home Screen Exit,set content view run get calendar click view calendar events, such as the ability to view and edit the addresses in a list or calendar view,20.668949777358183,27.586206397146256, read and share your calendar,2.422688498487175,19.999999625000004
com.sarihiari.pinnr,Use Pinnr to tag your contacts with a GeoCode,contact,save contacts as a file in the storage of your phone/device.,Contacts Select Export Select Folder Start,initialize write file public directory test file get file run get external storage directory run run get path strategy get storage state parse path strategy run run get available file attach get free external storage space get external cache get request run get external need permission run , this app provides users with a central location to configure app settings and preferences,10.731292814895088,17.39130387145559, you can send the messages to the friends and send the call call to your contacts,9.354933536308877,29.99999950500001
com.modivmedia.scanitgl,Use your smartphone to scan and bag your items as you put them in your cart,camera,This app requires camera permission. Because the app need to open camera for scanning purpose.,SCAN IT,open driver start scanner start scanner camera camera surface get preview sizes get camera resolution receive resume ,s camera and display them in a grid s camera,8.350460095518029,27.27272680991736, take photos and videos with the camera,1.8118207695714357,9.523809079365101
mountainpixels.anniversarygif.phframe,Save your new picture and share it instantly on social networks!,storage,read and write device storage is needed to load and save photos,save image share,create view share set layout text start crop worker task attach parent activity result back handle message create view set photo view set sticker item click show create click get path show exit click activity result run click initialize control intent setup table layout get external storage directory,in to a beacon notification system and share their location data with the app  and displays banners and images to notify the user of location,4.476480036595113,12.90322534859523, save your photos with a picture photos in the photo from the gallery,11.583960079962267,27.272726772727278
madiva.com.englishspeakingpractice,Record your voice to listen it again,microphone,We request a permission RECORD AUDIO to record your voice and you can listen to it again. ,Hide Record Audio Click To Listen View Question Check Answer Show Conversation,"run start recording run record run record audio 
",s camera and saving it to the device,9.578122612241073,13.333332835555575, the app is you to record the microphone to your phone,9.550894480344319,24.999999507812507
com.herman.music,Music Player lets you manage all your music files quickly and easily ,storage,access device storage,Scanning USB storage?? OK Cancel ,get external storage directory , delete contacts  such as deleting contacts and starting the next call,3.706552675687227,9.523809024943338, you can save the photo to your phone and apply the photo with the gallery and apply the photo that you can save the photo in the gallery,3.6985470056211582,23.999999507200005
bigolive.filters,Take a picture or select a photo from gallery,camera,"we need permission to access device storage, for example photos and videos.",Save Image Saving Gallery,"get external storage directory build storage output folder get external storage dump 
",the purpose of this app is to provide an interface for users to pick a photo from their camera or gallery,13.85012967165274,28.57142816326531, take photos and videos with the new camera and select your photo,8.73609029824592,31.578946880886434
com.miccron.coinoscope,Coinoscope mobile application uses phone camera to capture images of coins.,camera,Coinoscope mobile application uses a phone camera to capture images of coins. The images of coins are uploaded and stored on the Coinoscope server to perform coin recognition and search.,Save Image This app needs camera permission to capture photos,touch cancel auto focus surface start preview surface get picture sizes capture image request capture session start stop release,the purpose of this app is to allow users to capture images of the front of a check using their device camera,16.818119158766237,27.58620642568372, you can take a picture to take pictures and apply your photo with camera,5.368484383850604,8.333332836805587
com.smartphoneremote.androidscriptfree,Send and Receive emails and SMS,sms,"permissions used in our app include: read sms, send sms",Send SMS Edit Text Cancel Return,get content set string put extra send message start activity, and the camera and microphone permissions,13.004587390397509,19.99999950000001, access and calendar,6.41189130061276,24.999999531250005
net.therap.app,Electronic visit verification by recording location through GPS,location,Request permissions include access to users current location and gps information.,"Sorry, we could not find your location. Type your location Get current location",request location resume start listening location resume resume request result success listen location resume get last known location , such as location services or google sign,5.681353136087588,13.333332835555575, location access by gps location of the gps of the map to be location and find your current location,5.472722335236624,28.571428099773243
com.sunny.see.moon.valentines.day.photo.frames.eighteen.thisyear,Select photos from gallery or capture new photo from camera,camera,camera permission is required,Valentines Day Photo Frames 2018 Camera Open Gallery,get camera open set picture size set preview size set preview range set preview format get focus start preview take picture, the dialog will show either the gallery or camera options,15.215530331954128,33.33333283333334, this app uses your camera to scan your phone code in the camera,3.4127942869901453,9.999999505000023
com.aneesu401.kf,The Google map is used in this app which will retrieve your current location,location,"When you visit the mobile application, we may use GPS technology (or other similar technology) to determine your current location in order to determine the city you are located within and display a location map with relevant advertisements.",Enable GPS  View on Map,get last known location get time get night mode night get longitude get latitude,onsaveinstancestate  which is used to save the current state of the app,17.765384195605787,23.999999507200005, the app uses your location to gps you with send gps location,9.411752631734196,33.33333284722222
com.kamp,You can discover new camping locations around you or anywhere on the map,location,Our app may collect location information from users.,find your current location open map show satellite mode,run get provider get last known location set click listener start activity click open map get instance, and logging scanned file paths and associated uri on the external storage,8.75597527507087,17.39130384877128, you can use your current location to get gps information and get location information,8.109618008555142,17.39130384877128
com.synergy.free.custom.happybirthdaycard.birthdayphoto.birthdaygreetings.birthdaywishimages,show your creative side of taking the pictures with our quality frames,camera,"you can take photos, make selfies or use photos from your gallery, apply dozens of various effects, masks and create original avatars of any kind. camera and photos information we?ll access your camera and photos only after you give us your consent our application requires to collect images and other information from your device?s camera and photos",take photo frame apply cancel back save to album,get camera id click open camera set parameter click take picture auto focus, the oncreate method checks if the app requires an explicit camera permission from the user and sets up two listeners on the mcropimageview object  the onactivityresult method handles the result of taking a photo using the camera app on android,3.688706238906124,14.285713877551034, select a photo from the gallery or take a photo with the camera,5.791912399146264,18.181817685950424
yong.tools.life.weather,GPS positioning,location,access to your location information,gps coordinates,create set content view run background get latitude get longitude set string append show screen execute cursor, is to provide a centralized location for handling errors that may occur during the execution of the app,0.0,0.0, you can use your current location to get gps information and get location information,3.1613146643144376,15.384615124260359
com.next.womendayphotoframes,Save your image to SD card,storage,"data are stored to preferences database for app inside device storage area, and some other data such as camera picture, downloaded data are stored to either memory card ",save image exit,run get external storage directory run, and save the image to the device,22.206235135110884,49.99999950000001, save your photos and share it in gallery,14.59874131984243,28.57142808163266
us.plurib.youarehere,Shows your location (red dot) on a world map,location,"we may collect some sensitive data from your device, such as your location information.",your location settings exit,run execute get provider get accuracy run get latitude run get longitude run back,s location using the google play services location api and display it on a map location location,10.82602875184478,34.78260821928167, you can use your current location to get gps information and get location information,5.368484383850604,19.99999950500001
uk.co.piota.schools,you can add priority events to the personal calendar on your device,calendar,permission needed: calendar,view calendar events add to calendar time location title type cancel save,set content view start event calendar get instance click set priority get type set set get time, a button to save changes to the device s external storage,12.577841255953796,27.272726776859507, you can send your contacts to a time from the app,18.251721203619862,34.78260819659736
us.SmartJoy.BodyScanner,Place it over photo from gallery or shot a new one,camera,camera: this permission allows arc media & entertainment to use your device??s camera to take photos / videos and turn on/off camera flash,gallery select cancel go back open camera take picture,click bind open gallery get gallery layout get image list get image id click start activity run background get camera id list click open camera set parameter auto focus set click listener click take photo, the dialog will show either the gallery or camera options,10.422751250178631,19.99999950500001, select a photo from the gallery or take a photo with the camera,19.313991238027455,47.619047120181406
com.ionicframework.seascribe969991,Digital photographic images and audio clips from onboard cameras and microphones can be tagged to specific observations and locations.,microphone,SeaScribe users can allow the app to take photos and record audio. SeaScribe app users must agree to provide the app with access to the device's onboard camera and microphone before initiating use of these optional features. ,record audio,request permission set audio source result resume recording resume recording audio execute prompt record start recording start recording audio, and display various metadata such as shooting time and location  the app includes options to view and manage albums and locations,10.312857423098349,17.14285664326532, select a photo from the gallery or take photo using the camera,1.9037236762505396,7.40740694101512
com.seeclickfix.winstonsalem311.app,also allows you to snap a photo to add to your service request,camera,"request permission: camera, storage, .etc",open camera flip take photo exit,get camera device set parameter auto focus set click listener click open camera set click listener click take photo, it also allows the user to save the state of the app to the device,12.305361062672036,27.27272677272728, select a photo from the gallery or take a photo with the camera,8.756876221003553,19.04761854875285
com.language.English.voicekeyboard.chat,recording your voice,microphone,microphone permission is required to access the microphone and record your voice,grant microphone permission to allow voice recording,run create audio record run start recording run stop release,s camera and also has a feature to convert text into voice,3.707947408994927,13.333333013333345, the application can record the sound of your device,5.010658302996347,18.181817785123975
com.photoeditor.animalphotomontage,Select a photo from image gallery of take a new one,camera,CAMERA: Take photos by user??s device camera.,Photo Editor Choose Photo Edit,create run start preview take photo click start activity, the ui includes options to take a photo with the camera,16.137063484303248,19.99999950000001, take photos and videos with the camera,3.701055332474006,11.764705397923896
com.glitterlabs.eventin,Users can view other users profile and have the ability to connect with them on your nearby location,location,"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information, including but not limited to approximate location (network-based),precise location (GPS and network-based).",Search by position navigation home,get time get last known location view find users start map run display map, such as the ability to view and edit the addresses in a list or calendar view,16.15972637073477,19.35483821436005, this app uses your location to the phone with the map,7.784152838673144,14.814814348422512
com.softek.ofxclmobile.macu,Deposit checks by taking a picture with your device,camera,permission required: camera,touch an Image to Retake Picture Quick Deposit Take Picture Open,surface set preview display open surface take picture auto focus stop preview surface release surface , including handling activity results and adding a picture file from the external storage,8.756876221003553,18.18181769834712, this app allows you to take a photo of a time and select your photo from gallery and camera,3.9324207430867326,15.999999539200013
pl.effisoft.myfrap2,send voice messages,microphone,you can send voice message by activating your device microphone. your message will not be stored by our app.,start recording send message return quit,start recording stop release retry send message process send sticker get min buffer size send location process queue send message,this app is a voice record picker activity  which allows users to record and send voice messages  the main purpose of this activity is to enable users to record voice messages and send them to a specific recipient,5.475575726305786,23.07692287278107, the application will record the voice of your device,5.010658302996347,18.181817785123975
com.timee,send voice messages,microphone,you can send voice message by activating your device microphone. your message will not be stored by our app.,start recording send message return quit,start recording stop release retry send message process send sticker get min buffer size send location process queue send message,this app is a voice record picker activity  which allows users to record and send voice messages  the main purpose of this activity is to enable users to record voice messages and send them to a specific recipient,5.475575726305786,23.07692287278107, the application will record the voice of your device,5.010658302996347,18.181817785123975
com.myzap.era,find homes based on your current location,location,Geolocation data: precise location information about a particular individual or device.,Location Settings current location City State Zip code Save home,get last known location get time get accuracy, location  and gps status  and view current location,14.59874131984243,30.76923027218935, access your location to get the location,11.027521403237621,30.76923027218935
com.inglesdivino.imagestovideo,You can select images from your gallery or from the camera.,camera,Read external storage: used to allow the user select a picture from the device photo gallery.,Select Image Reading Files Apply to all images Close OK,get individual cache directory image loader get cache directory create reserve disk cache get cache directory get cache directory empty default build get external storage directory get individual cache directory create disk cache create default get cache directory get external cache , either through the camera or from the device imgcamera,23.020791427478336,33.33333283950618, you can save the photo to your phone and share the apply a photo and apply the photo as you,9.172820153616431,34.78260820415879
com.glympse.android.glympseexpress,Select a contact from your address book and Glympse Express creates a shortcut enabling you to send to that contact,contact,required permissions include read and write contact,Add or remove contacts Remove,add recipient get contact photo get owner get available list get added list load file create get start create recipient request contact create open contact photo input stream click fetch get contact photo activity result ,the purpose of the app is to allow users to add a contact to their address book,14.027346890246704,25.80645111758586, read contacts to read your contacts for a contacts,3.459595275612906,17.39130396219283
es.dbenito.scx,You can use your voice for lap signaling (ideal for Radio Control drivers),microphone,this app requires some necessaary permission such as RECORD AUDIO to be able to record audio.,Voice Search Voice Sensor Settings,set recognition listener create stop disable stop listening start recognition,activityselectfromcontacts is to provide a user interface for selecting contacts from an app  the user can use this app to search and filter the list of contacts  and select specific contacts to add or edit,4.22094716253428,9.99999958000002, this app will use the microphone to microphone and text you can be you can be it in the microphone and use the microphone on your microphone,6.764227084360519,28.57142808163266
com.voolenstudios.Waterfall.photo.editor,Take a selfie or Capture a picture with Camera or Select your photo from gallery,storage,You may access device Camera (Rear & front) and Gallery in order to use our applications.,Take picture Open gallery share,get camera open camera click capture capture image take picture,s camera or gallery  of the app includes options for the user to either take a picture with the camera or open a photo from their device  the app launches the appropriate camera or gallery app and captures the image,15.0597562633172,39.02438981082689, take a photo from the gallery or take a photo with the camera,25.56900132421705,45.45454497107439
com.tss.eccofloat,SCAN: Featuring NFC and QR code scanning with full traceability of the parts from manufacturing,camera,"Access to device camera to scan QR code and barcode, this is main feature of the app.",nfc enabled scan barcode with device camera,get camera id get focus mode auto focus , providing users with a centralized location to access various features and functionality of the app,11.51175122746578,19.99999950000001, scan your camera to scan and barcode,3.048591888697769,9.523809115646275
gr.pixelab.funny,Record videos with your camera,camera,permission to take pictures and record video self explanatory you give permission to the application to capture photos and videos through your camera ,video start recording stop pause save to album select select all delete,setup get device get camera set click listener click request permission access click open long click start recording stop recording destroy release, camera record location key,15.984843662639502,22.22222172839508, select a photo from the gallery or take a photo with the camera,5.791912399146264,26.66666622222223
com.icereportsoftware.icereport,The app uses your current GPS location,location,our app collects your location information to provide gps tracking service.,get your current position,create get provider execute executor set get current location append set update,s location or saving the app,22.225028003248724,30.76923027218935, this app uses your location to provide you with provide you with your device and you can be be location,12.601713787301978,39.99999954500001
com.mvltr.animaleyemask,User can select their photo directly from camera,camera,camera this permission is used exclusively to enable the flash of the camera,Camera store image in Picture gallerybGallery My Photos Photo Save Set as wallpaper Share with Delete Exit,create open camera get camera device set preview, users can also set their preferred language and location,8.468128511371502,23.529411266436, qr is app is a qr of the camera and scan the qr with the app and scan the time on the app in the device,1.679324021628631,9.090908628099196
me.doubledutch.pdqrx.volvooceanraceoceansummit,Access location and speaker information at your fingertips,location,The location data collected through an app depends on your device settings and app permissions. ,get location,invoke request single update get current position get latitude get longitude, including its headquarters location and contact information,19.250094475283618,39.999999502222224, access your location with a location,12.870523296860222,30.76923029585799
com.synerdream.pocketsinger,Record your voice using the built-in microphone,microphone,our app request access to your device microphone. any recordings stay within your device and will not be saved or transferred remotely,enable microphone start recording stop resume,run set audio source click send message start recording start stop resume run release,s internal storage using the onsaveinstancestate,16.9081468703987,30.76923027218935, record your voice to record and notes,31.98431140151961,46.153845656804734
com.accessunited,ATMs and Banking Centers using the GPS system provided by your device,location,"If you grant permission to use your device??s location, Provider will use the data when checking for nearby branch and ATM locations",Get all Location Locations Find Locations ATM Locations Branch Locations,set location enable location run enable location item selected draw location get last known location, and a camera and gallery button  or to capture an image using the camera,10.731292814895088,24.99999950000001, the app uses your current location to gps you with gps and track your location to track your location,6.972844260429411,24.99999950000001
me.doubledutch.cfvzh.mastercardmeetingseu,Create your own personal schedule and access location and speaker information,location,"When you use the App and with your consent, we may collect and use your precise (or GPS) location information collected from the App to enhance your use of the App by providing you with sessions and meetings nearby.",find your location,location get altitude location map get current position get last known location , as well as to request user location and camera access permissions,13.77486736311536,19.99999950000001, this app uses your location to your location,6.582940982338671,24.999999531250005
de.envire.jwankel.pitchtuner,This application needs to access the microphone to get the pitch you are playing or singing,microphone,this data is handled as personal and sensitive information and the pitchtuner app will not send microphone data from your devicethe pitchtuner app request permissions to use data from your microphone,start recording show pitch return,get state open close set recording start recording run ,s microphone  the purpose of this code is to ensure that the app has the necessary permissions to access the microphone,21.61803065432417,19.99999950222223, record your voice to record and notes,1.8118207695714357,9.999999580000019
com.mobinteg.smiityar,Install SMIITY AR and find out about the best places of interest nearby your location!,location,Precise GPS location from mobile devices is collected only with your permission.,This app requires your location Search user location,add geo object location update add world location update add geo object location update enable location enable set location get latitude add world location update set location status set last know location get last known location, along with various other features such as a list of nearby places of interest and a search bar  and a button to share the current location,13.979369596533632,16.216215734112506, this app uses your location to gps you with gps and track your location to track your location,8.292052036299328,15.384614896449719
com.applixgroup.demoar,The app tracks the content you open and allows you to save your favourite resources for an easy and immediate use!,storage,Required permission: write external storage,download browse history select add to favorite cancel,get external storage directory,the savephotoactivity app is a user interface for an app that allows users to save photos to their device  and save the photo to their device,14.733876651172114,31.578946869806096, save your own image in your device gallery,2.5368808485619754,15.999999596800011
pk.happening.customerapp,View events around you via GPS location,location,Access Fine Location permission is required,"Please wait while getting your GPS location Please grant Location permission,for access your currnet location Current Location",get best provider get location get last known location, handling location s location and preferences,6.56647024797714,16.66666618055557, access your location to get nearby location,6.553810101428183,15.38461488757398
ca.skipthedishes.dashboard,Track your deliveries on a real-time map,location,we need access to your location information to get your current position,View on Map Recenter Live Orders,get last known location get current position get available location run get speed request location map,s location using the google play services location api and display it on a map location location,8.791418270421788,28.57142812698413, this app will be you to get the location of the map,3.707947408994927,11.111110635802488
com.lzmouse.myguc,you can record this lecture or take some pictures or even adding notes or taking some videos,camera,"apps running on mobile platform requesting permissions for camera, mic, gps, contacts are just for the functions the app will use, they will not send any of these data to network servers",camera take photo recording video start stop save to gallery back quit,create start run get camera id list click open camera set parameter auto focus create set click listener click take picture set click listener start recording,the purpose of this app is to provide a microphone activity in the kangaroos app  where users can record audio and have access to tips related to bluetooth and gps usage,4.771901978729217,9.756097111243328, record voice from your microphone,0.8642937583720143,10.526315401662064
com.uedgeapps.goodmorningquotes,Camera is another function as a bonus for the user who has installed this app,camera,use device camera to take pictures and videos,Access to camera is required for taking photo Camera Open Gallery Save to Gallery,get camera open run get preview format run get picture sizes take picture run stop preview release, as well as a dialog that informs the user that the app needs location permissions,16.670316235067567,37.03703654320989, take photos from camera,0.7963543772126059,10.526315457063722
com.coastguard,Access weather information from the closest NOAA buoy to your current location,location,"we need access to your location to provide location based services such as navigation, routing and search.",get weather show temperature c f exit settings,create location enabled session run background get time start activity run background execute get provider get current location, which requests necessary permissions from the user to access their contacts,15.468238339293414,26.08695602268432, you can use your current location to get the city information in the app,23.724066223391013,23.999999500800012
nl.fotoview.shatter,Save and Share your image in JPG or PNG format,storage,the app need access device storage,Choose a file format PNG JPG Effect Save Image Share,"activity result background get latest get external storage directory open default image apply filter execute get storage save share set item selected post execute post execute dispatch take picture intent execute execute executor save background execute create file create temp file random get file 
", method starts the loading of the saved image in an async task when the fragmentactivity is resumed,6.638763294693575,15.999999520000014, you can download the share your external storage to a photo from your device,8.109618008555142,17.39130385633272
com.revesoft.mobiledialer.salamath_1521989085171_76683,Flexible integration with your phone book contacts,contact,contact permission is required to allow users to easily interact with their contacts,Contacts Select Contact Accept Decline Initializing Dialer Splash Screen Yes No New SMS,sign start get contact get view start execute run receive run run send message execute finish inflate activity result get view execute get view,style application that allows users to view and manage their address book contacts style application that allows users to view and manage their address book contacts,4.301466380982225,19.99999954500001, read contacts to read your contacts for contacts,9.578122612241073,33.33333284722222
com.twomb.recorder.yieoyo,It can record audio from mic as well during screen record,microphone,we use audio record permission to record lectures and tutorials,press button to start stop settings exit,activity result set audio start recording start recording activity result , which allows users to record audio from their device and store it in external storage,16.951349050074572,23.999999520000006, record your voice to record your microphone,6.227441177236719,13.333332888888904
com.secretapplock.musicplayer,Stay with enjoyable musics and download as in library,storage,we allow you to download content and store it on your device in your usb storage,Music Download Playlist Remove Share,clear cache failure write last state file click drawer get disk cache request result get external storage directory click success get view get view get external cache destroy, and download location,6.123235831242965,33.33333295833334, save and share your photo to gallery,4.925039474350716,12.499999507812518
bokf.ib.android.market.bok,Utilize GPS to get one-touch access and directions to ATM and banking center locations,location,"If you grant permission to use your device??s location, Provider will use the data when checking for nearby branch and ATM locations",search ATM Bank Get Directions Current Location,location timed location old run location login get best location get time better location get latitude get longitude , camera  the app can access and use the camera and microphone to capture and record media,11.51829209890568,24.99999950000001, gps location,0.06489287029856214,14.285714040816327
in.BangBit.FindMobi,you can ask your customers or friends to track your location,location,"we may have access to your location information, to provide you relevant services.",free location tracker,get last known location,s location or behavior  which can be used to track user behavior and ad engagement,14.530683608743583,24.99999951388889, this app uses your location to provide you with provide you to share your location,14.530683608743585,29.99999950000001
com.mobpixel.photo.editorfordancer,It is an easy and fun way to enhance your personal photos and Changer yourself in dancer,camera,the app request camera permission to colloct sensitive data. the data collected will be handle securely.,open gallery take photo cancel exit,set content view set preview get camera device auto focus set parameter open camera set click listener click take picture get preview click gallery, a camera button that enables users to capture photos  and enabling or disabling the camera functionality,8.78814676576042,19.354838210197727, record your voice to record your microphone,2.6427569336697623,19.04761868480726
com.lancofcu.grip,Locate ATMs or branches and contact Lanco FCU customer service directly from the app.,location,"If you grant permission to use your device??s location, Provider will use the data when checking for nearby branch and ATM locations",Get all Location Locations Find Locations ATM Locations Branch Locations,get last known location get night mode run set longitude get location set latitude get location,  the oncreate method checks if the app requires explicit camera permission from the user or not camera camera,11.812535521488964,14.285713785714302, the app uses your current location to gps you with gps and track your location to track your location,7.846456362990641,15.38461488757398
com.gtype.harirayaphotoframe,Use existing photos from your gallery or snap a new pic to use with the photo frames,camera,Use existing photos from your gallery or snap a new pic to use with the photo frames,Camera Take Photo Access to camera is required for taking photo,request result create create open create set picture size picture taken preview frame get preview size , which can be used to display images when the user interacts with the camera or a gallery app,13.865270830268225,18.18181768227733, take photos from gallery or take photo from gallery,11.638151318832085,45.45454505785124
com.corrigo.corrigonet,Capture technician GPS data,location,"When a commercial service professional accepts a job at a particular location, then the engaging entity, on the date of the assignment, will have access to the location information that is tracked through the mobile application. We use this information to facilitate payment, confirm scheduling, and for purposes related to ensuring performance of the particular job.",Enable GPS Location,process location send message fill request handle result get latitude handle location format location fill handle result set time location run get speed, the app may track sensor data s location,5.677983649215282,16.666666222222233, gps and location to get you to get your current location,4.059303217698318,16.666666222222233
com.pijappi.logikidsbinary,Game data is stored on your device,storage,We need access your storage to store gameplay data of our app.,Game data is stored on your device,load event sound call externalize resource resize call get file get patch expansion file invoke parse path strategy extract asset file call open request permission get external file dirs get path set file path run ,  the onsaveinstancestate  which is then saved to the device,8.468128511371502,26.6666661688889, download and download your image in phone,6.553810101428183,15.38461488757398
com.roshi.name3Dtext.texteditor,Directly import photo from gallery or quick access from camera for 3D text,camera,Camera permission allow us to to take pictures and create videos through the permission Camera????which is granted by user for photo effects and video play pause or for photo frames effects or may be to save and share his/her pictures.,Add Text Font Colors Layout Background Border Add Filter Add Effect Add Frame Save Cancel Share,capture open camera take picture add text add tag choose font save, the dialog will show either the gallery or camera options,11.271942107246964,28.57142808163266, select a photo from the gallery or take a photo with the camera,19.313991238027455,45.45454495867769
com.mylaps.eventapp.standardcharteredhongkongmarathon2017,This app may use your location ,location,During a sports event technologies may be deployed that make it possible to establish exactly your location at any time (live tracking) by receiving GPS signals from your device and/or from transponder (aka chip or tag worn my you) reads on course during the event.,Get Current Location,start wear handle location update get last known location set altitude location process set latitude location process, which suggests that the app may be providing users with location,13.77486736311536,35.29411719031142, this app uses your location and gps you with track your location,17.929989910579522,49.999999531250005
com.zetagile.pizzaora.customer,Restaurant locator and distance calculation from your location,location,"When you visit the mobile application, we may use GPS technology (or other similar technology) to determine your current location in order to determine the city you are located within and display a location map with relevant specific information.",Delivery Location Select delivery location Done Continue More options Use Current Location Add,get location get last known location run, bike locations  the app includes a map view that displays the location of bikes  and distance from their current location,9.172820153616431,30.769230343195268, access your location to get the car location,14.59874131984243,26.6666661688889
pe.app.nsquareforig,Save album to SD card,storage,write storage permission: save photos,Save Image,"create activity result create execute click click execute executor execute click create create get external storage directory background click click execute execute background request result click execute execute click 
", event price  add to calendar,9.527262543222346,19.99999950000001, save your photos and share it in your phone,5.010658302996347,15.38461491124262
com.noormediaapps.diwaliframesfestival,Take your new image with camera ,camera,This permission allows Noor Media Apps to use your device's camera to take Photos / Videos and turn ON/OFF Camera Flash.,Share Image Twitter Whatsapp Instagram Mail Facebook more ,get camera instance open take picture get preview, and interacting with the camera or gallery,11.02752140323762,30.76923027218935, qr is app is a qr of the camera and scan the qr with the app and scan the time on the app in the device,2.8617719151769148,9.999999580000019
com.odnklassac.weathermenow3,Automatic location detection,location,location data will be collected from your device.,enable location to continue your location lagitude longitude,run get latitude get longtitude run run release, location services,15.87876182352661,39.99999952000001, access your location and you can send you can share your current location,3.4127942869901453,16.666666291666676
com.ARHeadBallBouncing.tzabars,An Augmented reality sport game that recognize your face on the screen using the front camera of your Phone or tablet,camera,Our app will use camera information,Face Recognizing Cancel Save image,face detection set focus mode auto focus, which suggests that the app is collecting and tracking user statistics or analytics  it performs a location  such as displaying an animation at a specific location on the screen,12.513102905311346,17.777777289876557, you can take a picture to take pictures and apply it to your device,1.9174342689058579,6.451612428720119
trainedge.sample_proj,The main purpose of Location Based services is to provide information to customers based on the knowledge of phone locations,location,Access Fine Location permission is required,Please enable your GPS and TTS settigs in app settings to use app properply GeoFi Please wait while the address is loading Add Geofence Notification ,location get current place get latitude set map interaction new place search request location handle intent connected location package new search request location package get last known location,the purpose of this app is to provide users with a centralized location to configure various aspects of the launcher,25.47311339995469,36.3636358640955, this app uses your location and gps your location and gps in gps in your current location,2.170506890818093,7.999999539200027
com.rts.EDMRingtonesDJRemix,Get these free music ringtones for Android ringing and free download awesome ringtones that will rock your body!,storage,write external storage permission is needed for the app to perform its functionality.,select ringtones music free download return,set click listener click start download get path strategy get file get external storage directory closed run call initialize set manual attach get parse path strategy get storage state run ,the purpose of this app is to provide an interface for users to customize their ringtone preferences  the app includes a variety of options to allow users to set different ringtones for different contacts  the app includes a variety of options to allow users to set different ringtones for different contacts,2.887842288693545,9.756097085068436, save your photos to your phone,0.8886751108747768,9.523809160997747
com.tanishka.jesus.photoframes,Select your photo from the gallery or Capture a picture with phone camera.,camera,"we are do not using any servers therefore we are not saving user provided data including images,videos and etc.The permissions are only used to allow user to access the device camera and read/modify/delete the data on device's USB storage.",Share your designs frames save to gallery,start capture image capture, including handling activity results and adding a picture file from the external storage,15.282119710525068,15.384614884615402, you can take photo from your gallery or take a photo with the camera then apply the frame that you can apply the photo in you,14.733876651172114,46.66666617555556
com.busywww.doubleexposure,Multiple exposures on the single photo for the android camera,camera,request permission to access camera to take pictures,set exposure take photos save to gallery,set content view click open camera set exposure set click listener click take pictures, method sets up an audio dispatcher for the android microphone,21.716388127113,31.578946869806096, take photo from camera,4.579734386406428,30.769230343195268
in.perfectsquares.lifestyle.greetings.kannada.birthday,upload a photo from gallery,storage,Required permission: read and write external storage.,Gallery Select Photo Upload Done Save Image,"touch capture image result get external storage directory activity result 
",the purpose of this app is to provide an interface for users to pick a photo from their camera or gallery,11.987068294388994,31.999999680000013, you can download the share your external storage to a photo from your device,15.234565296818257,33.33333293209878
com.lighthouse1.mobilebenefits.bs2,Take or upload a picture of a receipt and submit for a new or existing claim,camera,"In order for you to upload a photo or video, we request access to a photo gallery, camera and / or microphone on your tablet or phone.",you can use your device camera to take a photo of a receipt or use existing photo in your gallery to upload and file a claim,click open gallery start activity get gallery layout get image id click open camera set parameter set preview auto focus set click listener click take picture, the app includes a camera button that allows users to take a picture of the exercise,18.3113689389813,29.62962913031551, take a photo with your camera or select your photo from gallery,6.259682230693115,26.086956030245755
